delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,23,ZONA CENTRO,CALLE FRANCISCO EDUARDO TRES GUERRAS,SIN VIOLENCIA
HOMICIDIO DOLOSO,CELAYA,2020,FEBRERO,20,LA LAJA,CALLE VENUSTIANO CARRANZA,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,20,LOPEZ PORTILLO,CALLE GENERAL MANUEL PALAFOX,SIN VIOLENCIA
HOMICIDIO DOLOSO,CELAYA,2020,FEBRERO,21,SAN LUIS REY,PRIVADA SONORA,
VIOLENCIA FAMILIAR,CELAYA,2020,FEBRERO,21,LA AURORA,CALLE ANTONIO CASO,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,4,CENTRAL DE ABASTOS,CALLE PASEO DE CELAYA,CON VIOLENCIA
DAÑOS,CELAYA,2020,FEBRERO,4,SAN JUANICO,CALLE MINA DE SAN BERNABÉ,
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,4,EL DORADO,CALLE PLAZA ANTONIO PLAZA,SIN VIOLENCIA
ROBO A CASA HABITACIÓN,CELAYA,2020,FEBRERO,4,LOS PINOS,AVENIDA JUAN JOSÉ TORRES LANDA,SIN VIOLENCIA
OTROS DELITOS,CELAYA,2020,FEBRERO,3,CONSTIYUYENTES,CAMINO A JOFRE,
OTROS DELITOS,CELAYA,2020,FEBRERO,4,RINCONADA ARBOLEDAS,CALLE MONTE ETNA,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,6,HACIENDA DEL BOSQUE,BOULEVARD FRIDA KAHLO,CON VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,6,QUINTA ARBOLEDAS,CALLE PASEO DE SAN NICOLÁS DE PARRA,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,3,LA ESMERALDA,NO CATALOGADO,SIN VIOLENCIA
INCUMPLIMIENTO DE LAS OBLIGACIONES DE ASISTENCIA FAMILIAR,CELAYA,2020,FEBRERO,3,NUEVA SANTA MARIA,PENSAMIENTO,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,3,REAL DEL CAMPESTRE,CARRETERA A QUERÉTARO,CON VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,3,EXELARIS,AVENIDA IRRIGACIÓN,SIN VIOLENCIA
AMENAZAS,CELAYA,2020,FEBRERO,3,SAN FRANCISCO,AVENIDA PASEO DEL SOL,
CONTRA LA SALUD,CELAYA,2020,FEBRERO,21,CAMARGO,NO CATALOGADO,
OTROS DELITOS,CELAYA,2020,FEBRERO,21,INDUSTRIAL,CIRCUITO TEXTIL,
OTROS DELITOS,CELAYA,2020,FEBRERO,22,EL DORADO,CALLE PLAZA ANTONIO PLAZA,
LESIONES DOLOSAS,CELAYA,2020,FEBRERO,25,RENACIMIENTO,PROLONGACIÓN MIGUEL HIDALGO,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,20,EMILIANO ZAPATA,CALLE SUR 2,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,17,ZONA INDUSTRIAL,LATERAL CELAYA - VILLAGRAN,CON VIOLENCIA
CONTRA LA SALUD,CELAYA,2020,FEBRERO,12,SAN JUANICO,AVENIDA BRILLANTE,
OTROS DELITOS,CELAYA,2020,FEBRERO,13,NO CATALOGADO,NO CATALOGADO,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,13,ALAMEDA,CALLE IGNACIO MANUEL ALTAMIRANO,SIN VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,13,NAT THA HI,AVENIDA IRRIGACIÓN,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,12,GUANAJUATO,CALLE SEIZO FURUYA,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,12,NUEVA SANTA MARIA,PENSAMIENTO,SIN VIOLENCIA
VIOLENCIA FAMILIAR,CELAYA,2020,FEBRERO,13,LA HERRADURA,CALLE COLONIA,
OTROS DELITOS,CELAYA,2020,FEBRERO,8,LA AURORA,CALLE JAIME NUNÓ,
OTROS DELITOS,CELAYA,2020,FEBRERO,8,NO CATALOGADO,NO CATALOGADO,
AMENAZAS,CELAYA,2020,FEBRERO,9,PEDRO MARIA ANAYA,CALLE GENERAL CIRIACO VÁZQUEZ,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,9,ZONA CENTRO,CALZADA INDEPENDENCIA,SIN VIOLENCIA
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,9,DEL VALLE,CALLE LEANDRO VALLE,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,5,ALAMOS,EJE NORPONIENTE / AVENIDA MÉXICO JAPÓN,SIN VIOLENCIA
ROBO A CASA HABITACIÓN,CELAYA,2020,FEBRERO,5,PALMA REAL,CIRCULO PALMA RÉAL,SIN VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,5,LAS INSURGENTES,CALLE LA CANO,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,4,SAN MARTIN DE CAMARGO,AUTOPISTA CELAYA-QUERÉTARO,CON VIOLENCIA
OTROS DELITOS,CELAYA,2020,FEBRERO,4,LAS FLORES,CALLE HELIOTROPO,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,4,LAS FLORES,CALLE HELIOTROPO,SIN VIOLENCIA
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,4,GIRASOLES,AVENIDA 12 DE OCTUBRE,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,1,VILLAS DEL BAJIO,AVENIDA REAL DE LOS CEREZOS,CON VIOLENCIA
AMENAZAS,CELAYA,2020,FEBRERO,1,LAS INSURGENTES,CALLE LUCÍA GARCÍA,
OTROS DELITOS,CELAYA,2020,FEBRERO,4,NO CATALOGADO,NO CATALOGADO,
OTROS DELITOS,CELAYA,2020,FEBRERO,4,VILLAS DEL BAJIO III,CALLE VILLA DE ALEJO,
ROBO A CASA HABITACIÓN,CELAYA,2020,FEBRERO,23,MONTE BLANCO,PRIVADA EJIDO DE SANTA TERESA,SIN VIOLENCIA
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,23,LOS OLIVOS,NO CATALOGADO,CON VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,23,DE BENAVENTE,CALZADA DE LA COLONIA,CON VIOLENCIA
LESIONES DOLOSAS,CELAYA,2020,FEBRERO,24,LA SUIZA,CALLE MUTUALISMO,
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,22,LOS OLIVOS SEGUNDA SECCION,CALLE BALEARES,CON VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,23,DE SANTO CRISTO,AVENIDA PROFESOR FRANCISCO JUÁREZ,SIN VIOLENCIA
OTROS DELITOS,CELAYA,2020,FEBRERO,6,LAGOS,PRIVADA LAGUNA VERDE,
VIOLENCIA FAMILIAR,CELAYA,2020,FEBRERO,6,DEL BOSQUE,CALLE TAMARINDO,
AMENAZAS,CELAYA,2020,FEBRERO,6,DE TIERRAS NEGRAS,PRIVADA VICENTE CORTEZ,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,6,EJIDAL,CALLE EJIDO SAN NICOLÁS DE PARRA,CON VIOLENCIA
LESIONES DOLOSAS,CELAYA,2020,FEBRERO,2,EMILIANO ZAPATA,CALLE GRACIANO SÁNCHEZ,
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,4,EL DORADO,CALLE PLAZA ANTONIO PLAZA,CON VIOLENCIA
HOMICIDIO CULPOSO,CELAYA,2020,FEBRERO,3,EMILIANO ZAPATA,CALLE SUR 2,
FRAUDE,CELAYA,2020,FEBRERO,25,LAS FUENTES,CALLE SALTO DEL AGUA,
OTROS DELITOS,CELAYA,2020,FEBRERO,21,LOS FRESNOS,NO CATALOGADO,
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,21,NO CATALOGADO,NO CATALOGADO,CON VIOLENCIA
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,21,NO CATALOGADO,NO CATALOGADO,SIN VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,21,ALAMEDA,CALLE AGUSTÍN ARROYO CHAGOYÁN CHICO,SIN VIOLENCIA
LESIONES DOLOSAS,CELAYA,2020,FEBRERO,18,SIENA,CALLE CEBADA,
VIOLENCIA FAMILIAR,CELAYA,2020,FEBRERO,19,SIENA,AVENIDA HIERBA BUENA,
HOMICIDIO DOLOSO,CELAYA,2020,FEBRERO,14,ROSA LINDA,CALLE EL GRECO,
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,14,LA HERRADURA,AUTOPISTA CELAYA-QUERÉTARO,CON VIOLENCIA
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,12,SAN ANGEL,NO CATALOGADO,CON VIOLENCIA
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,12,ZONA DE ORO,CALLE ALBINO GARCÍA,CON VIOLENCIA
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,13,NO CATALOGADO,NO CATALOGADO,SIN VIOLENCIA
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,12,DE DON GU,NO CATALOGADO,CON VIOLENCIA
OTROS DELITOS,CELAYA,2020,FEBRERO,8,NO CATALOGADO,NO CATALOGADO,
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,9,LA JOYA,AVENIDA EL SAUZ,SIN VIOLENCIA
ROBOS DIVERSOS,CELAYA,2020,FEBRERO,8,VALLE DEL REAL,RUISEÑOR,SIN VIOLENCIA
ROBO DE VEHÍCULO,CELAYA,2020,FEBRERO,8,EJIDAL,CALLE EJIDOS LOS AGUIRRE,CON VIOLENCIA
LESIONES DOLOSAS,CELAYA,2020,FEBRERO,7,SAN FRANCISCO,AVENIDA PASEO DEL SOL,
VIOLENCIA FAMILIAR,CELAYA,2020,FEBRERO,7,GIRASOLES,ANDADOR DE CAOBA,
LESIONES DOLOSAS,CELAYA,2020,FEBRERO,4,NO CATALOGADO,CALLE JUAN B. CASTELAZO,
VIOLENCIA FAMILIAR,CELAYA,2020,FEBRERO,4,DE SAN MARCOS,CALLE VICENTE GUERRERO,
OTROS DELITOS SEXUALES,CELAYA,2020,FEBRERO,4,PUERTA GRANDE RESIDENCIAL,CERRADA DE LA TRINIDAD,
OTROS DELITOS,CELAYA,2020,FEBRERO,5,ZONA INDUSTRIAL,NO CATALOGADO,
OTROS DELITOS,CELAYA,2020,FEBRERO,1,VILLAS REALES,CALLE COLIBRÍ,
DAÑOS,CELAYA,2020,FEBRERO,1,DE LOS SANTOS,NO CATALOGADO,
ROBO A NEGOCIO,CELAYA,2020,FEBRERO,1,ZONA CENTRO,NO CATALOGADO,CON VIOLENCIA
FRAUDE,CELAYA,2020,FEBRERO,22,COMPUERTAS DEL CAMPESTRE,EJE NORTE ORIENTE,
HOMICIDIO DOLOSO,CELAYA,2020,FEBRERO,22,ZONA CENTRO,NO CATALOGADO,
