delito,municipio,anio,mes_nombre,dia,colonia,calle,forma_accion,longitud,latitud
OTROS DELITOS,CELAYA,2021,ENERO,12,ARBOLEDAS DE SAN RAFAEL,AVENIDA UNIVERSIDAD,,-100.8379921,20.5037426
"ALLANAMIENTO DE MORADA, DE DOMICILIO DE PERSONAS JURIDICAS COLECTIVAS Y DE ESTABLECIMIENTOS ABIERTOS AL PUBLICO",CELAYA,2021,ENERO,12,ALAMOS,CALLE FLAMENCO,,-100.8509479,20.5279244
OTROS DELITOS,CELAYA,2021,ENERO,12,LAS INSURGENTES,CALLE MARÍA PONCIANA LIMA,,-100.7936767,20.5210219
LESIONES DOLOSAS,CELAYA,2021,ENERO,12,GALAXIA DEL PARQUE,CALLE DEL ARENAL,,-100.8420447,20.5602305
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,7,VALLE DE GIRASOLES,AVELLANO ORIENTE,,-100.8406925,20.5299681
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,12,HACIENDA NATURA,PARQUE CIMATARIO,,-100.8602898,20.5542304
DAÑOS,CELAYA,2021,ENERO,12,ZONA DE ORO,CALLE LUCIO MARMOLEJO,,-100.8350528,20.5251765
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,12,DEL ZAPOTE,CALLE TAMPICO,,-100.8029273,20.5244428
OTROS DELITOS,CELAYA,2021,ENERO,4,JARDINES DE CELAYA 1 RA SECC,CALLE PASEO DE GUANAJUATO,,-100.7971503,20.5193627
OTROS DELITOS,CELAYA,2021,ENERO,4,MONTE BLANCO,CALLE EJIDO LA MACHUCA,,-100.8289215,20.5070071
OTROS DELITOS,CELAYA,2021,ENERO,4,VILLAS DEL BAJIO,VILLA DE ARANGO,,-100.8646781,20.5595196
AMENAZAS,CELAYA,2021,ENERO,4,MONTE BLANCO,CALLE EJIDO CERRO PRIETO,,-100.8283726,20.5079825
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,12,SAN MIGUEL,CALLE DIEGO RIVERA,,-100.8206027,20.5191282
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,12,LA HERRADURA,CALLE COL,,-100.7816294,20.5519952
ROBOS DIVERSOS,CELAYA,2021,ENERO,12,NO CATALOGADO,CALLE BENITO JUÁREZ,SIN VIOLENCIA,-100.7491497,20.4688429
ABUSO DE CONFIANZA,CELAYA,2021,ENERO,12,SAN GABRIEL,CALLE GALEÓN,,-100.8435122,20.556992
VIOLENCIA FAMILIAR,CELAYA,2021,ENERO,12,EL DORADO,AVENIDA LICENCIADO BENITO JUÁREZ,,-100.8152453,20.5252005
